"id","nombre","codigo","sinonimos_nombre","sinonimos_nombre"
1,"CASCABEL","CCB","Casca","Cascafrut"
2,"VIBORA","VBR",,
3,"SIRARI","SIR",,
4,"GUAIRUY","GRY",,
5,"EL DORADO","DRD",,
6,"RIO GRANDE","RGD",,
7,"TATARENDA","TTR",,
8,"PATUJU","PTJ",,
9,"YAPACANI","YPC",,
10,"COBRA","CBR",,
11,"MONTEAGUDO","MGD",,
12,"SAN ALBERTO","SAL",,
13,"SÁBALO","SBL","SABALO","Sabalo"
14,"ESCONDIDO","EDD",,
15,"LA VERTIENTE","LVT",,
16,"TAIGUATI","TGT",,
17,"LOS SURIS","LSR",,
18,"WARNES","WRN",,
19,"CHACO SUR","CHS",,
20,"NARANJILLOS","NJL",,
21,"PORVENIR","PVN",,
22,"BERMEJO PROFUNDO","BJOP","X 44",
23,"BERMEJO SOMERO","BJO","BERMEJO",
24,"TIGRE","TGR",,
25,"TORO","TOR",,
26,"CARANDA","CAR",,
27,"COLPA","CLP",,
28,"SURUBI NOROESTE","SRBNO","NOR - OESTE",
29,"PALOMA","PLM",,
30,"SURUBI","SRB",,
31,"SURUBI BLOQUE BAJO","SRBBB","BLOQUE BAJO",
32,"CAMBEITI","CBT",,
33,"LOS SAUCES","LSC",,
34,"BOQUERÓN","BQR",,
35,"PALACIOS","PLC",,
36,"PUERTO PALOS","PPL",,
37,"CAMIRI","CAM",,
38,"ENCONADA","ECD",,
39,"ARROYO NEGRO","ARN",,
40,"LOS PENOCOS","LPS",,
41,"LA PEÑA","LPÑ",,
42,"TUNDY","TND",,
43,"PALMAR","PMR",,
44,"MARGARITA","MGR",,
45,"HUACAYA","HCY",,
46,"RIO SECO","RSC",,
47,"TACOBO","TCB",,
48,"TAJIBO","TJB",,
49,"HUAYCO","HYC",,
50,"MADREJONES BOLIVIANO","MDB",,
51,"ÑUPUCO","ÑPC",,
52,"BULO BULO","BBL",,
53,"CAIGUA","CAI",,
54,"CARRASCO","CRC",,
55,"CARRASCO FW","CFW",,
56,"CHURUMAS","CHU",,
57,"HUMBERTO SUÁREZ ROCA","HSR","H. SUAREZ R.",
58,"JUNIN","JNN",,
59,"KANATA","KNT",,
60,"KANATA NORTE","KNN",,
61,"KATARI","KTR",,
62,"LOS CUSIS","LCS",,
63,"LOS MONOS","LMS",,
64,"MONTECRISTO","MCT",,
65,"PALOMETAS NW","PNW",,
66,"PATUJUSAL","PJS",,
67,"PATUJUSAL OESTE","PJO",,
68,"PERCHELES","PCH",,
69,"SAN IGNACIO","SIG",,
70,"SAN ROQUE","SNQ",,
71,"SANTA ROSA","SRS",,
72,"SANTA ROSA W","SRW",,
73,"VUELTA GRANDE","VGR",,
74,"IBIBOBO","IBB",,
75,"PALO MARCADO","PMO",,
76,"ITAU","ITU",,
77,"ITATIQUI","ITT",,
78,"INCAHUASI","ICS",,
79,"KANATA FOOTWALL","KFW","KANATA FW",
80,"CAMATINDI","CAMA",,
81,"PALOMETA NW","PAL",,
